ID;NAME;ORGANISATION;BERUF;PSEUDONYM;ANMERKUNGEN;GND;Geburtsdatum;Sterbedatum
278;Bouterwek, Friedrich (1);False;Text;Uzim Abdallah;;;1766;1828
279;Bouterwek, Friedrich (2);False;Graphik;;;;1806;1867
280;Boutrois, Philibert;False;Graphik;;;;1775;1814
281;Bouwinghausen von Wallmerode, Franz Maximilian Friedrich;False;Text u. Hrsg.;;;;1753;
282;Bowitsch, Ludwig;False;Text;;;;1818;1881
283;Boxall, William;False;Graphik;;;;1800;1879
284;Brachmann, Karoline Marie Luise;False;Text;;;;1777;1822
285;Braekeleer, Ferdinand de;False;Graphik;;;;1792;1883
286;Brakenburg, Richard;False;Graphik;;;;1650;1702
287;Bräker, Ulrich;False;Text;;;;1735;1798
288;Bramigk, Johann Friedrich;False;Text;;;;1767;
289;Brand, Johann Christian;False;Graphik;;;;1722;1795
290;Brandes, Rudolph;False;Text u. Hrsg;;;;1795;1842
291;Brandt, Johann Heinrich;False;Graphik;;;;1740;1783
292;Brauer, Eduard;False;Text;;;;1811;1876
293;Braun von Braunthal, Karl Johann;False;Text;;;;1802;1866
294;Braun, Georg Christian;False;Text;;;;1785;1834
295;Braunfels, Ludwig;False;Text;;;;1810;1885
296;Bräutigam, Johann Jakob;False;Graphik;;;;1790;1868
297;Bredow, Gabriel Gottfried;False;Text;;;;1773;1814
298;Breenbergh, Bartholomeus;False;Graphik;;;;1599;<1659
299;Breidenstein, Heinrich Karl;False;Text;;;;1796;1876
300;Brenner, Adam;False;Graphik;;;;1800;1891
301;Brennhäuser, Andreas Wolfgang;False;Graphik;;;;1819;1865
302;Brentano, Clemens Maria;False;Text;Maria;;;1778;1842
303;Bretschneider, Heinrich Gottfried von;False;Text u. Hrsg;;;;1739;1810
304;Bretzing, Georg;False;Graphik;;;;e. 1802;1822
305;Briggs, Henry Perronet;False;Graphik;;;;1791/93;1844
306;Brinckmann, Carl Gustav von;False;Text;Selmar;;;1764;1847
307;Brochart, Constant Joseph;False;Graphik;;;;1816;1899
308;Brockes, Barthold Heinrich;False;Text;;;;1680;1747
309;Brockhaus, Friedrich Arnold;False;Text u. Hrsg.;Guntram;;;1772;1823
310;Brocky, Karoly;False;Graphik;;;;1807;1855
311;Bronner, Franz Xaver;False;Text;;;;1758;1850
312;Brosse, Friedrich Christoph;False;Text;;;;1773;1827
313;Browne, Hablôt Knight;False;Graphik;Phix;;;1815;1882
314;Broxtermann, Theobald Wilhelm;False;Text;;;;1771;1800
315;Bruckbräu, Friedrich Wilhelm;False;Text;;;;1792;1874
316;Brückner, Ernst Theodor Johann;False;Text;;;;1746;1805
317;Brückner, Friedrich August;False;Graphik;;;;1785;
318;Bruegel, Jan d. Ä.;False;Graphik;;;;1568;1625
319;Brüggemann, J. W.;False;Graphik;;;;e. 1828;1844
320;Brun, Friederike;False;Text;;;;1765;1835
321;Brunck, Richard Franz Philipp;False;Text;;;;1729;1803
322;Brunhold, Friedrich;False;Text;;;;e. 1856;
323;Brunn, Friedrich Leopold;False;Text;;;;1758;1831
324;Brunold, Friedrich;False;Text;;;;e. 1856;
325;Bruyn, Nicolaes de;False;Graphik;;;;<1593;1656
326;Bube, Adolf;False;Text;;;;1802;1873
327;Buchholz, Christian Friedrich;False;Text u. Hrsg;;;;1770;1818
328;Buchholz, Karl August;False;Text;;;;1785;1843
329;Buchholz, Paul Ferdinand Friedrich;False;Text;;;;1768;1843
330;Buchhorn, Ludwig;False;Graphik;;;;1770;1856
331;Bückle, Johann Martin;False;Graphik;;;;1742;1811
332;Buckner, Richard;False;Graphik;;;;e. 1820;1877
333;Buddeus, Aurelio;False;Text;;;;1817;
334;Bührer, Victor Matthäus;False;Text;;;;1760;1828
335;Bührlen, Friedrich Ludwig;False;Text;;;;1777;1850
336;Bullinger, Johann Balthasar;False;Graphik;;;;1713;1793
337;Bülow, Karl Eduard von;False;Text;;;;1803;1853
338;Bunsen, Philipp Ludwig;False;Text u. Hrsg;;;;;1809
339;Burckhardt, Jacob;False;Text;;;;1818;1897
340;Burdach, Christian Gottfried Heinrich;False;Text;;;;1775;1823
341;Bürde, Samuel Gottlieb;False;Text;;;;1753;1831
342;Büren, Bernhard Gottfried;False;Text;;;;1771;1845
343;Büren, Gottfried Wilhelm;False;Text;;;;1801;1859
344;Burgdorfer, Daniel David;False;Graphik;;;;1800;1861
345;Bürger geb. Hahn, Elisabeth;False;Text;;;;1769;1833
346;Bürger, Gottfried August;False;Text;"[Dietrich] Menschenschreck; Dietrich Schofelschreck; Bajacco Romano; Ursula Blandina Lachtaube verehelichte Menschenschreck; acosus Serius; Hans Schlau; Ossian; Krittelhold alias Menschenschreck; Sansculotte";;;1747;1794
347;Burgers, Hendricus Jacobus;False;Graphik;;;;1834;1899
348;Burggraf, Karl;False;Graphik;;;;1803;
349;Burgwedel, Karl von;False;Musik;;;;Anf. 19. Jh.;
350;Buri, Christian Karl Ernst Wilhelm;False;Text;;;;1758;1817
351;Burkhart, David;False;Graphik;;;;1798;1837
352;Bürkli, Johann;False;Text;;;;1745;1804
353;Burmann, Gottlob Wilhelm;False;Text;;;;1737;1805
354;Burmeister, Johann Peter Theodor;False;Text u. Graphik u. Musik;"J. P. Th. Lyser; Luca fa presto";;;1803;1870
355;Busch, Gabriel Christoph Benjamin;False;Text u. Hrsg;;;;1759;1823
356;Büschenthal, Lippmann Moses;False;Text;;;;1784;1818
357;Büscher, C.;False;Graphik;;;;e. 1818, 1819;
358;Büsching, Johann Gustav;False;Text;;;;1783;1829
359;Buschmann, Gotthard von;False;Text;Eginhard;;;1810;1888
360;Buser, Friedrich;False;Graphik;;;;1797;1833
361;Butler, Samuel;False;Text;;;;1612;1680
362;Byron, George Gordon;False;Text;;;;1788;1824
363;Cagnacci. Canlassi, Guido;False;Graphik;;;;1601;1681
364;Calderon de la Barca Barreda, Don Pedro;False;Text;;;;1600;1681
365;Calenberg, Philippine von;False;Text;"Cyane; Clytia; Klytia; Lyäne; Reseda";;;1765;1848
366;Calisch, Moritz;False;Graphik;;;;1819;1870
367;Callot, Jacques;False;Graphik;;;;1592;1635
368;Callot, Magadalena von;False;Text;;;;1774;1831
369;Camoens, Luis de;False;Text;;;;1524;1580
370;Campbell, Thomas;False;Text;;;;;
371;Campe, Joachim Heinrich;False;Text;;;;1746;1818
372;Camphausen, Wilhelm;False;Graphik;;;;1818;1885
373;Candidus, Karl August;False;Text;;;;1817;1871
374;Canova, Antonio;False;Graphik u. Text;;;;1757;1822
375;Canta, Johannes Antonius;False;Graphik;;;;1816;1888
376;Cantarini, Simone;False;Graphik;;;;1612;1648
377;Capieux, Johann Stephan (Jean Etienne);False;Graphik;;;;1748;1813
378;Caravaggio. Merisi, Michelangelo;False;Graphik;;;;um 1560;1609
379;Carnier, Xaver Franz;False;Text;;;;1766;~ 1811
380;Carové, Friedrich Wilhelm;False;Text u. Hrsg;;;;1789;1852
381;Carracci, Agostino;False;Graphik;;;;1557;1602
382;Carracci, Annibale;False;Graphik;;;;1560;1609
383;Carracci, Lodovico;False;Graphik;;;;1555;1619
384;Carro, Jean de;False;Text u. Hrsg;;;;1770;1857
385;Carstens, Asmus;False;Graphik;;;;1754;1798
386;Carstens, Frederik Christian;False;Graphik;;;;1762;1798
387;Carter, James;False;Graphik;;;;1798;1855
388;Casanova, Giacomo Jacopo;False;Text;;;;1725;1798
389;Casey, John Archibald;False;Graphik;;;;e. 1830;1859
390;Casparson, Johann Wilhelm Christian Gustav;False;Text;;;;1729;1802
391;Cassas, Louis François;False;Graphik;;;;1756;1827
392;Castelli, Ignaz Vinzenz Franz;False;Text;;;;1781;1862
393;Casti, Giambattista;False;Text;;;;1721;1803
394;Catel, Franz Ludwig;False;Graphik;;;;1778;1856
395;Catel, Ludwig Friedrich;False;Graphik;;;;1776;1819
396;Catel, Samuel Heinrich;False;Text;;;;1758;1838
397;Cavaceppi, Bartolomeo;False;Graphik;;;;1716;1799
398;Cerri, Cajetan;False;Text;;;;1826;1899
399;Cervantes, Miguel;False;Text;;;;1547;1616
400;Chalon, Alfred Edward;False;Graphik;;;;1780;1860
401;Chamisso, Adalbert von;False;Text;;;;1781;1838
402;Champagne, Philippe de;False;Graphik;;;;1602;1674
403;Chateaubriand, Francois René de;False;Text;;;;1768;1848
404;Chatelet, Claude Louis;False;Graphik;;;;1753;11794
405;Chaudet, Jeanne-Elisabeth;False;Graphik;;;;1767;1832
406;Cheesman, Thomas;False;Graphik;;;;1760;1834/35
407;Chevalier, William;False;Graphik;;;;Anf. 19. Jh.;
408;Chézy, Helmina von;False;Text;Enkelin der Karschin, Hastfer;;;1783;1856
409;Chézy, Wilhelm Theodor von;False;Text;;;;1806;1865
410;Chisholm, Alexander;False;Graphik;;;;1792;1847
411;Chodowiecki, Daniel Nikolaus;False;Graphik;;;;1726;1801
412;Christ, Johann Ludwig;False;Text;;;;1739;1813
413;Christmann, Johann Friedrich;False;Musik;;;;1752;1817
414;Cignani, Carlo;False;Graphik;;;;1628;1719
415;Clar, Johann Friedrich August;False;Graphik;;;;1768;1844
416;Claudius, Georg Karl;False;Text u. Hrsg u. Musik;;;;1757;1815
417;Claudius, Matthias;False;Text;Asmus;;;1740;1815
418;Clennell, Luke;False;Graphik;;;;1781;1840
419;Clodius geb. Stölzel, Julie Friedrike Henriette;False;Text;;;;1755;1805
420;Clodius, Christian August;False;Text;;;;1738;1784
421;Clodius, Christian August Heinrich;False;Text;;;;1772;1836
422;Cochin, Charles Nicolas (d. J.);False;Graphik;;;;1715;1790
423;Cochran, John;False;Graphik;;;;;>1855
424;Coeckelberghe-Dützele, Gerhard Robert Walter von;False;Text u. Hrsg;Realis;;;1786;1757
425;Cogniet, Léon;False;Graphik;;;;1794;1880
426;Coiny, Jacques Joseph;False;Graphik;;;;1761;1809
427;Colin, Alexandre Marie;False;Graphik;;;;1798;1875
428;Collin, Heinrich Joseph von;False;Text;;;;1771;1811
429;Collin, Matthäus Casimir von;False;Text;;;;1779;1824
430;Collin, Rosalie von;False;Text;;;;1776;
431;Collins, William;False;Graphik;;;;1788;1847
432;Conca, Sebastiano;False;Graphik;;;;1680;1764
433;Conca, Sebastiano u.;False;Graphik;;;;;
434;Contessa, Christian Jacob;False;Text;;;;1767;1825
435;Contessa, Karl Wilhelm;False;Text;;;;1777;1825
436;Cöntgen, Georg Joseph;False;Graphik;;;;1755;1799
